No.,회사,제목,지역,상세보기
39,서울과학기술대학교 산학협력단,식품바이오연구소 학사급/석사급 빅데이터/AI 연구원 (계약직),서울 노원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606210000156&src=etc*search
40,네오밸류테크(주),네오밸류테크에서 AI(GraphRAG) 기반 차세대 SI 개발에 함께할 개발자를 찾습니다.,경기 하남시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100002876&src=etc*search
41,피플워크(주),Clinical Database Programmer (CDP) - 글로벌제약사,인천,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606180001067&src=etc*search
42,에스케이키파운드리 주식회사,SK키파운드리 AI 분야 경력(리더급) 채용,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090000050&src=etc*search
43,나눔정보,소프트웨어 개발 직원 모집,경북 경주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090003349&src=etc*search
44,주식회사 라피플코리아리미티드,머신비전 전문가(AI기반 검사자동화 시스템구축)-(과장-임원급),경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260004388&src=etc*search
45,안진회계법인,[딜로이트 안진회계법인] 26년 하반기 데이터 엔지니어 경력직,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605200002037&src=etc*search
46,써치스퀘어,AI 엔지니어 (VLM / VLA),서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220001268&src=etc*search
47,(주)비아이매트릭스,[코스닥기업] 생성형 AI 엔지니어 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607030002407&src=etc*search
48,(주)에이치알맨파워그룹,[대기업-지주사]  AI Platform Engineer (서울),서울 강북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220000017&src=etc*search
49,(주)엔터웨이파트너스,[딥테크 선도기업] AI Agent 개발자,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060002846&src=etc*search
50,파워에이치알,[주요SI업체] AI Engineer,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260004410&src=etc*search
51,(주)엔터웨이파트너스,[패션 대기업]고객데이터 분석,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090002206&src=etc*search
52,파워에이치알,[스타트업체-판교]  자율주행 Deep Learning Engineer-Perception(AD),경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290005683&src=etc*search
53,주식회사 카카오,Data Scientist (경력),경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080000024&src=etc*search
54,(주)에임즈인터내셔널코리아,[반도체 본사 연구소] MMIC 설계 엔지니어,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606080002906&src=etc*search
55,삼양식품,[삼양식품] MI 파트장,서울 성북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300000004&src=etc*search
56,주식회사 앱버즈,고성능 C++네트워크/데이터전송 엔지니어      스톡옵션 별도,경기 파주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060000485&src=etc*search
57,파워에이치알,[주요SI업체] Forward Deployed Engineer,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070005088&src=etc*search
58,(주)케인앤클루컨설팅,AI Research Engineer (ML/LLM Service Engineering) 경력사원 모집,경기 용인시 처인구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070002395&src=etc*search
59,(주)잡뉴스솔로몬서치,IT DX/AX 기획 팀장(차부장)/팀원(대리-과장) - 자동차 타이어 생산 대기업,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060000051&src=etc*search
60,프로페셔날핸즈인핸즈코리아(주),가전 중견기업 IT 시스템개발 (대리-차장급) 정규직 채용,서울 구로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606260003555&src=etc*search
61,(주)카이트로닉스,센서연구 분야 신입 모집 (석사 이상),서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020001104&src=etc*search
62,(주)에이치알맨파워그룹,[대기업-지주사] Physical AI Expert (서울),서울 강북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220000016&src=etc*search
63,(주)백그라운드,[프리미엄 소형가전 기업] 브랜드 전략 분석실 리더,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606060000240&src=etc*search
64,탑커리어인사이트,상장대기업  PCS제어기 SW개발,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100000159&src=etc*search
65,(주)로딕스,(주)로딕스_로봇 테스트 및 개발보조 인력 채용,인천 연수구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300004365&src=etc*search
66,(주)다원,㈜다원 협동로봇 현장 엔지니어(Field Application Engineer) 채용,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060002161&src=etc*search
67,엑스다임 (주),탑티어 HR컨설팅사 HR Consultant,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606060000341&src=etc*search
68,(주)무스마,[MUSMA] 4족보행 로봇 엔지니어 채용공고(부산근무),부산 수영구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020000419&src=etc*search
69,리앤파트너 주식회사(LEENPARTNER),서비스기획·운영 경력  채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605270004577&src=etc*search
70,(주)케인앤클루컨설팅,[대기업계열사]보안관제(EDR) 대리~과(차)장급 포지션 경력채용,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607030002499&src=etc*search
71,(주)신호시스템,계측팀 신입 및 경력 채용,경기 성남시 중원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300000989&src=etc*search
72,(주) 이젠아카데미,"카티아 솔리드웍스 (반도체,자동차,AI자동화,트윈) 엔지니어 경력 교사 채용",서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300001163&src=etc*search
73,개츠소프트,[재택근무] AI · 백엔드 개발자,재택근무 가능,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020004995&src=etc*search
74,리앤파트너 주식회사(LEENPARTNER),[유명 금융 IT대기업] 그로스 데이터 분석 담당자,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605270004576&src=etc*search
75,위더스파트너스 주식회사,Physical AI 로보틱스 엔지니어,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607030001085&src=etc*search
76,(주)세븐아이,[(주)세븐아이] IT개발자 / 정부 R&D과제 관리자 모집,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606100001100&src=etc*search
77,(주)브릭에이아이,생성형 AI 플랫폼 및 에이전트 개발 풀스택개발자,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060000380&src=etc*search
78,파워에이치알,[코스피-신용평가업체] 평가모형컨설팅(개인신용/기업여신),서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290005684&src=etc*search
79,케이비증권(주),패시브영업1부 경력직(연봉계약직) 채용,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010001286&src=etc*search
80,베스트네트워크(주),38. AI 전문가 [글로벌 탑티어 테크 대기업],서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606280000137&src=etc*search
81,하나생명보험(주),[하나생명] AI전략부 경력사원 채용,서울 중구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090002005&src=etc*search
82,(주)케인앤클루컨설팅,보안관제 EDR 대리과(차)장급 경력사원 모집,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010001284&src=etc*search
83,(주)케인앤클루컨설팅,[IT 인프라/AI 기업] AWS 엔지니어/아키텍트 포지션 채용,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290002684&src=etc*search
84,(주)케인앤클루컨설팅,[IT 인프라/AI 기업] AWS Databricks Engineer(Junior)포지션 채용,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002589&src=etc*search
85,프로페셔날핸즈인핸즈코리아(주),강소기업 백엔드 개발자 (2년-4년 경력) 정규직 채용,경기 성남시 중원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607030004709&src=etc*search
86,(주)케인앤클루컨설팅,보안관제 대리(과장)급 경력사원 모집,서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606140000039&src=etc*search
87,(주)프라이데이즈랩,데이터 사이언티스트 (Data Scientist) 5년 이상 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606120001069&src=etc*search
88,(주)케인앤클루컨설팅,[IT 인프라/AI 기업] Google Cloud 엔지니어/아키텍트(Junior)포지션 채용,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010003752&src=etc*search
89,(주)케인앤클루컨설팅,[IT 인프라/AI 기업] Google Cloud 엔지니어/아키텍트(Senior)포지션 채용,경기 과천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020001289&src=etc*search
90,반석써치(주),IT개발 본부장,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605220003082&src=etc*search
91,"

                            다믈파워반도체(유)                        
",PXI 엔지니어 경력 채용,경기 과천시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54417715&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
92,"

                            (주)닷코                        
",(주)닷코 데이터 분석·엔지니어링 전문가 모집,부산 금정구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53955590&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
93,"

                            (주)아이앤티로보틱스                        
",(오산) 자동화설비 기구설계 경력사원 모집,경기 오산시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53988068&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
94,"

                            (주)아나스                        
",화재/소방분야 위험성 평가 및 원자력 계통 분석,부산 금정구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54111773&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
95,"

                            (주)피에스티                        
","반도체 장비 설계, 전장, 제어 엔지니어 모집",경기 안성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54157428&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
96,"

                            펫프레시(주)                        
",온라인 마케터 채용,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54212839&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
97,"

                            (주)연우에이치티                        
",2026년 (주)연우에이치티 BIM 경력 채용 모집 (설계 / 시공 등),서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54350321&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
98,"

                            진메디신(주)                        
",AI·빅데이터 기반 CNS Delivery Optimization 연구원,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54407222&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
99,"

                            위킵 주식회사                        
",[구로] 홍보마케팅 담당자 신입/경력 신규 채용,서울 구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54150776&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
100,"

                            (주)에스유엠                        
",[에스유엠] 자율주행개발실 엔지니어 채용,경기 시흥시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54180657&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
101,"

                            (주)하이드로엑스팬드                        
",[하이드로엑스팬드] 수전해 스택 연구원 (신입/경력),경기 화성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54207830&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
102,"

                            (주)하이드로엑스팬드                        
",[하이드로엑스팬드] 수전해 스택 생산·평가 엔지니어 (신입/경,경기 화성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54247725&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
103,"

                            (주)미스터멘션                        
",[미스터멘션] 그로스 마케터 채용 (퍼포먼스 + AI 콘텐츠),부산 해운대구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54308913&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
104,"

                            고려대학교구로병원                        
",고려대학교구로병원 암센터 연구교수 초빙공고,서울 구로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54325342&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
105,"

                            (주)지엔이피에스                        
",전력전자 연구개발 엔지니어(PCS·ESS·UPS·SMPS) 모집,광주 북구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54361249&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
106,"

                            (사)분자설계연구소                        
",연구원 채용 (  안전성 평가 및 데이터사이언스 분야 ),인천 연수구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54382639&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
107,"

                            갤럭스(주)                        
",[갤럭스/신약플랫폼본부] In silico 신약 설계 연구원 모집,서울 관악구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54404559&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
108,"

                            (주)아티크론                        
",[SRAM 회로설계 엔지니어] 신입/경력직 채용 공고,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54085535&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
109,"

                            셀렉트스타(주)                        
",[부산] Data Manager,부산 사하구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54160147&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
110,"

                            (주)더기버스                        
",AI 콘텐츠 크리에이터 (AI Content Creator) 정규직 채용,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54294040&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
111,"

                            로버트월터스코리아(주)                        
",[연구/엔지니어] 기구설계 엔지니어,서울 중구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54414757&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
112,"

                            (주)라쿠텐심포니코리아                        
",2026 H1 Hiring for Rakuten Symphony Korea,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53878626&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
113,"

                            (주)엔틀                        
",주)엔틀 에너지AI사업팀 데이터 분석 담당 채용(서울),서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54055210&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
114,"

                            (주)아임뉴런                        
",Protein Design & Characterization 연구원,경기 수원시 장안구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54216706&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
115,"

                            (주)워프솔루션                        
",기구설계 경력직 채용,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54156306&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
116,"

                            (주)더프라임그룹                        
",3D비전(머신비전) 필드 엔지니어 경력 채용,경북 경산시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54055737&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
117,"

                            컴파이드(주)                        
",컴파이드(주) 시뮬레이션 엔지니어 채용,경기 용인시 기흥구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54267167&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
118,"

                            (주)퀀텀플럭스                        
",[R&D] 개발자 채용 공고,대전 유성구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54403060&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
119,"

                            (주)쿨마이크로                        
",[동탄] Thermal System Engineer 경력 채용 - CFD 열해석,경기 화성시 동탄구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54410747&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
120,"

                            (주)팀모노리스                        
",(주)팀모노리스 교육 콘텐츠 매니저 채용(신입 지원 가능),서울 용산구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54104819&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
121,"

                            스월엑스 주식회사                        
",SwirlX 차세대 데이터센터 냉각 R&D 엔지니어 (CFD·실험),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54157958&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
122,"

                            화순전남대학교병원                        
",전남대학교 의과대학 핵의학교실 기능 영상 및 치료 연구팀 공고,전남 화순군,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54383383&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
123,"

                            미림미디어랩(주)                        
",파워포인트 교안 디자인 전문가 채용,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54409660&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
124,"

                            (주)코더랜드                        
",[재택] 초중등 온라인 1:1 코딩강사(화상수업 튜터),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54404285&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
125,"

                            (주)라스카                        
",상업영화 / OTT VFX 각부문 경력직 모집(프로젝트 계약),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54422739&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
126,"

                            (주)티에스엠                        
",(주)티에스엠 Smart Factory 엔지니어 채용 공고,충남 천안시 서북구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54100969&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
127,"

                            플레이리스트(주)                        
",플레이리스트 버추얼 TA 모집,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54281888&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
128,"

                            두올                        
",[연구원] 제로에너지건축물 관련 R&D 신입/경력 채용,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54111186&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
